ID,Title,Genre,Tags,Synopsis,Rank,Popularity,Score,Episodes,Duration,Watchers,Start_date,End_date,Day_aired,Main Role
20,Signal ,"Thriller, Mystery, Sci-Fi","Different Timelines, Butterfly Effect, Murder, Hwaseong Serial Murders, Suspense, Investigation, Death, Tragic Past, Corruption, Time Altering","Fifteen years ago, a young girl was kidnapped on the way from school, and Park Hae Yeong, who was an elementary school student at that time, witnessed the crime. A few days later, the girl was found dead, and the police were not able to find the culprit. As time went by, Hae Yeong started distrusting the police.
Fifteen years later, Hae Yeong is now a police officer and criminal profiler. One day, he finds a walkie-talkie that allows him to get in contact with Detective Lee Jae Han who is in the past. Police officers Hae Yeong, Jae Han, and Cha So Hyun then set out on a journey to solve cold cases.",62,79,8.9,16,75,"70,090",1/22/2016,3/12/2016,"Friday, Saturday","Lee Je Hoon, Jo Jin Woong, Kim Hye Soo"
21,The Glory ,"Thriller, Drama, Melodrama","Revenge, School Bullying, School Violence, Strong Female Lead, Antiheroine Female Lead, Teacher Female Lead, Doctor Male Lead, Nonlinear Narrative, Social Issues, Sexual Content","A high school student dreams of becoming an architect. However, she had to drop out of school after suffering from brutal school violence. Years later, the perpetrator gets married and has a kid. Once the kid is in elementary school, the former victim becomes her homeroom teacher and starts her thorough revenge towards the perpetrators and bystanders of her bullying days.",68,202,8.9,8,50,"40,456",12/30/2022,,Friday,"Song Hye Kyo, Im Ji Yeon, Park Sung Hoon, Lee Do Hyun, Yeom Hye Ran, Jung Sung Il"
22,Kingdom Season 2 ,"Thriller, Historical, Horror, Supernatural","Zombies, Corruption, Strong Male Lead, Gore, Strong Female Lead, Power Struggle, Smart Female Lead, Death, Greed, Joseon Dynasty ","Following the events in season one, waves of the undead threaten to reach the capital. In an attempt to save the people during the plague and regain his right to the throne, Crown Prince Lee Chang pursues Jo Hak Joo to overthrow him, while the Queen is in a race against time to produce an heir to the throne.",70,249,8.9,6,45,"36,037",3/13/2020,,Friday,"Joo Ji Hoon, Kim Sung Gyu, Bae Doo Na"
23,Happiness ,"Action, Thriller, Drama, Sci-Fi","Disease, Strong Female Lead, Virus, Slow Burn Romance, Survival, Smart Male Lead, Fake Marriage, Infectious Disease, Illness, Zombies","Yoon Sae Bom is a special agent with quick wits and reflexes and another special quality. She earns the opportunity to move into a new apartment set aside for civil servants in a coveted apartment complex by pretending to marry high school friend Jung Yi Hyun. Yi Hyun is a detective investigating the spread of a mysterious disease. They are trapped in their apartment building when Han Tae Seok, head of the task force to control the spread of the disease, orders the complex to be sealed off from the rest of the city.
Quarantine and disease reveal a social caste system, bringing out the best and worst of the apartment residents.",72,110,8.9,12,65,"58,696",11/5/2021,12/11/2021,"Friday, Saturday","Han Hyo Joo, Jo Woo Jin, Park Hyung Sik"
24,Mr. Sunshine ,"Military, Historical, Romance, Melodrama"," Strong Male Lead, Independent Female Lead, Strong Female Lead, Smart Male Lead, Bromance, Imperialism, Gun Violence, Rebellion, Female Lead Action Scenes, Japanese Colonial Rule","Mr. Sunshine centers on a young boy born into a house servant's family who travels to the United States during the 1871 Shinmiyangyo (U.S. expedition to Korea). He returns to his homeland later as a U.S. marine officer. He meets and falls in love with an aristocrat’s daughter. At the same time, he discovers a plot by foreign forces to colonize Korea.",74,101,8.9,24,80,"61,076",7/7/2018,9/30/2018,"Saturday, Sunday","Lee Byung Hun, Yoo Yeon Seok, Kim Min Jung, Kim Tae Ri, Byun Yo Han"
25,Tomorrow ,"Action, Thriller, Drama, Fantasy","Grim Reaper Female Lead, Grim Reaper Male Lead, Underworld, Attempted Suicide, Death, Suicide, Afterlife, Suicide Prevention, Coma, Team Leader Female Lead","Choi Joon Woong seeks a job, but it's hard for him to get hired. One night, he witnesses a man trying to end his life and decides to stop him. He gets acquainted with grim reapers Koo Ryeon and Im Ryoong Gu, who belong to a crisis management team. Their purpose is to prevent people from committing suicide. After Joon Woong ends up in a coma and becomes half-human and half-spirit, he is employed by a company of grim reapers as the newest member of the crisis management team.",90,114,8.9,16,60,"57,931",4/1/2022,5/21/2022,"Friday, Saturday","Kim Hee Sun, Lee Soo Hyuk, Rowoon, Yun Ji On"
26,Healer ,"Action, Thriller, Mystery, Romance","Double Identity, Hidden Identity, Smart Male Lead, Strong Male Lead, Childish Female Lead, Fight, Sassy Female Lead, Hardworking Female Lead, Trauma, Badass Male Lead","Seo Jung Hoo is a special kind of night courier, known only as ""Healer"" by his clients. For the right price and with the help of a genius hacker, he gets his clients whatever they want, as long as it doesn't involve murder. His latest job leads him to a second-rate tabloid writer, Chae Young Shin, and the successful reporter, Kim Moon Ho. He begins to uncover the mystery of his own shared past with the two reporters, thus putting them all in danger.",91,14,8.9,20,60,"125,028",12/8/2014,2/10/2015,"Monday, Tuesday","Ji Chang Wook, Yoo Ji Tae, Park Min Young"
27,SKY Castle ,"Mystery, Psychological, Drama","Family Secret, Social Commentary, Family Pressure, Satire, Multiple Mains, Sibling Rivalry, Birth Secret, Female Centered Plot, Suicide, Black Comedy","Han Seo Jin, Noh Seung Hye, Jin Jin Hee, and Lee Myung Joo all live with their families in SKY Castle, a luxury private neighborhood hosting wealthy doctors and professors. All of the women wish for their children to enter prestigious universities and are actively supporting their education.
Following the acceptance of Myung Joo’s son into Seoul National University as a medical student, an incident occurs, resulting in the family quickly moving out. To the surprise of Sky Castle’s residents, Lee Soo Im and her inferior family move in. After interacting with the families there, Soo Im takes it upon herself to help the stressed children by challenging the other women of SKY Castle, meanwhile questioning her ways of supporting her step-son as well. She soon starts to uncover the truth of what happened to Myung Joo's family and their relation to the grade coordinator, Kim Joo Young.",92,102,8.9,20,75,"60,782",11/23/2018,2/1/2019,"Friday, Saturday","Yeom Jung Ah, Yoon Se Ah, Kim Seo Hyung, Lee Tae Ran, Oh Na Ra"
28,The Red Sleeve ,"Historical, Romance, Drama, Melodrama","Noble Man/Common Woman, Death, Tearjerker, Joseon Dynasty, Strong Male Lead, Male Chases Female First, Smart Female Lead, Master-Servant Relationship, Strong Female Lead, King Male Lead ","In Korea during the second half of the 1700s, Yi San is an aloof and perfection-loving young prince. His father’s killing haunts him, although it leaves him in the position to take the throne once his grandfather – the cruel and ruthless current king responsible for Yi San’s father’s death – dies. He has resolved to become a benevolent monarch who will reform the law when he eventually takes the throne, but the way his father was killed has scarred him emotionally.
At court, he meets a young woman named Sung Deok Im. Yi San falls in love with her and tries to convince her to become his official concubine. But Sung Deok Im is strong-willed and free-spirited. She is also intelligent enough to understand that becoming a royal consort to the future king is a prestigious role, but one that would restrict her freedom and likely bring her little in the way of joy. But Yi San’s love for Sung Deok Im is true, and she starts to understand that forming a union with him could ultimately benefit his troubled realm.",101,295,8.8,17,80,"31,967",11/12/2021,1/1/2022,"Friday, Saturday","Lee Jun Ho, Kang Hoon, Lee Se Young"
29,Mouse ,"Thriller, Mystery, Psychological, Sci-Fi","Murder, Investigation, Character Development, Dark Fiction, Suspense, Flashback To Past, Grandma-Granddaughter Relationship, Death, Sexual Assault, Child Sexual Abuse","A suspenseful story that asks the key question, “What if we could identify psychopaths in advance?” A crazed serial killer’s ruthless murders have left the entire nation gripped with fear, and chaos reigns. Justice-seeking rookie police officer, Jung Ba Reum, comes face to face with the killer. While he survives his dangerous encounter with the psychopath, Jung Ba Reum finds his life completely changing before his eyes.",103,165,8.8,20,75,"45,809",3/3/2021,5/19/2021,"Wednesday, Thursday","Lee Seung Gi, Park Ju Hyun, Lee Hee Joon, Kyung Soo Jin"
30,Stranger ,"Thriller, Mystery, Law, Drama","Suspense, Investigation, Corruption, Crime Solving Duo, Murder, Calm Male Lead, Alexithymia, Emotionless Male Lead, Strong Female Lead, Smart Female Lead","Hwang Shi Mok underwent brain surgery as a child to curb his violent temper, which left him devoid of emotions. Hwang becomes a prosecutor known for his piercing intelligence and logic, but he is ostracized because he lacks empathy and social skills. He is also one of only a handful of upright prosecutors who have refused to take bribes. One day, he encounters a stabbing victim while investigating corruption. He meets Lieutenant Han Yeo Jin at the crime scene. They join forces to root out corruption at the prosecutors’ office and solve a serial murder case.",105,146,8.8,16,70,"49,189",10-Jun-17,7/30/2017,"Saturday, Sunday","Cho Seung Woo, Lee Joon Hyuk, Shin Hye Sun, Bae Doo Na, Yoo Jae Myung"
31,Twenty-Five Twenty-One ,"Romance, Life, Drama, Melodrama","Coming Of Age, Nostalgia, Fencing, Nice Male Lead, Friendship, Character Development, Competition, IMF Crisis, High School To Working Life, High School ","In a time when dreams seem out of reach, a teen fencer pursues big ambitions and meets a hardworking young man who seeks to rebuild his life.
Na Hee Do is a member of her high school fencing team. Due to the South Korean financial crisis, the high school fencing team gets disbanded. Getting through all the difficulties, she becomes a member of the national fencing team.
The South Korean financial crisis also causes Baek Yi Jin’s father's business to go bankrupt. This leads to a life change for Baek Yi Jin, from living the life of a wealthy person to a poor person. While studying, he works part-time jobs like delivering newspapers. Later, he becomes a sports reporter for a broadcasting network.",108,91,8.8,16,75,"65,148",2/12/2022,4/3/2022,"Saturday, Sunday","Kim Tae Ri, Bona, Lee Joo Myung, Nam Joo Hyuk, Choi Hyun Wook"
32,The Uncanny Counter ,"Action, Mystery, Drama, Supernatural","Special Power, Righteous Male Lead, Evil Spirit, Strong Female Lead, Multiple Mains, Orphan Male Lead, Spirit, School Bullying, Childhood Trauma, Nice Male Lead","It tells the story of demon hunters called Counters who come to earth under the guise of being employees at a noodle restaurant in order to capture evil spirits that have returned to earth in pursuit of eternal life.

So Moon is the youngest of the Counters. After suffering from a mysterious car accident as a child, he eventually becomes a central figure among the Counters.

Do Ha Na has the ability to sense the locations of evil spirits, even those that are hundreds of kilometers away. She can also read the memories of others through touch and works with So Moon to do away with evil spirits.
Ga Mo Tak is a Counter with incredible strength. He’s a former police officer who lost his memory seven years ago after an accident and is unable to stand idle in the face of injustice. Ga Mo Tak is also So Moon’s mentor.
Chu Mae Ok is a Counter with healing abilities. Outwardly, she’s the chef of the noodle restaurant, but among the Counters, she is the emotional pillar of the group.
Choi Jang Mool is the oldest Counter. He’s in charge of all of the Counters’ expenses, and he is a living legend among the Counters in Korea.",109,80,8.8,16,70,"68,841",11/28/2020,1/24/2021,"Saturday, Sunday","Cho Byeong Kyu, Kim Se Jeong, Ahn Suk Hwan, Yoo Joon Sang, Yeom Hye Ran"
33,Goblin ,"Comedy, Romance, Fantasy, Melodrama","Supernatural, Older Man/Younger Woman, Interspecies Romance, Dokkaebi, Fate, Bromance, Death, Heartfelt, Tearjerker, Soulmates","Kim Shin was once an unbeatable general in Goryeo's military who died a tragic death. He now possesses immortality but is tired of living while everyone else around him dies. For 900 years, Kim Shin has searched for his bride, a mortal who can pull out the sword and end his life. One day, he encounters Ji Eun Tak, a positive, upbeat high school student who can see the dead and has gone through tragic events, yet still stays strong. She claims to be the Goblin's bride who can end his immortal life, but what appears to be an easy task, only gets complicated, as the two fall in love.",111,1,8.8,16,82,"192,967",12/2/2016,1/21/2017,"Friday, Saturday","Gong Yoo, Lee Dong Wook, Yook Sung Jae, Kim Go Eun, Yoo In Na"
34,D.P. ,"Action, Military, Drama","Military Abuse, Violence, Bromance, Desertion, Harassment, Dark Fiction, Humiliation, Adapted From A Webtoon, Sexual Assault, Miniseries","Private soldier Jun Ho is a confused youth who served in the military normally like other Koreans. One day, he suddenly becomes a member of the military defector arrest team. As such, he is tasked with capturing deserters and must grapple with the more troubling cases of why some soldiers feel they have no other choice but go absent without official leave.",120,207,8.8,6,50,"39,966",8/27/2021,,Friday,"Jung Hae In, Kim Sung Kyun, Koo Kyo Hwan, Son Seok Koo"
35,Kingdom ,"Thriller, Historical, Horror, Political","Joseon Dynasty, Adapted From A Webtoon, Power Struggle, Gore, Strong Male Lead, Survival, Nice Male Lead, Corruption, Zombies, Strong Female Lead","No sooner does the Joseon King succumb to smallpox, do the rumors of his death begin. The Cho Clan, the clan of the pregnant Queen and her father, Chief State Councillor Cho Hak Joo, declares the Crown Prince, a traitor.
Questioning the circumstances surrounding the King’s death, the Crown Prince and his guard, Moo Young, set forth to locate Lee Seung Hui, the last physician to treat his father. But the two end up stuck with Assistant Physician Seo Bi and a mysterious man named Young Shin in a village plagued with a terrifying disease.",129,113,8.8,6,51,"58,560",1/25/2019,,Friday,"Joo Ji Hoon, Bae Doo Na, Ryu Seung Ryong, Kim Sung Gyu"
36,Weightlifting Fairy Kim Bok Joo ,"Comedy, Romance, Life, Sports","Weightlifting, Friends To Lovers, Strong Female Lead, Bantering Relationship, Male Chases Female First, Healing, Swimming, Sismance, Father-Daughter Relationship, Slow Burn Romance","Bok Joo is a weightlifter who is pursuing her dream of winning the gold medal but she then finds romance for the first time in her life. While she is a woman who trains with heavy steel weights, she is also very feminine when it comes to relationships. Focusing solely on weightlifting would jeopardize her relationship but leaving her weightlifting career for love would keep her from attaining her dreams.
Can she find a way to have love as well as glory at the age of 20? The characters within this drama are elite athletes in weightlifting, swimming and rhythmic gymnastics who work hard to reach their goals in life. It covers their coming-of-age stories and relationships through hectic life.",133,3,8.8,16,60,"162,900",11/16/2016,1/11/2017,"Wednesday, Thursday","Lee Sung Kyung, Lee Jae Yoon, Nam Joo Hyuk, Kyung Soo Jin"
